Reaction ID,auxiliary_type,mapping_confidence,label_Ca,label_Cb,label_joint,smarts_Ca,smarts_Cb,smarts_status,cip_status,is_typeA,is_typeB,gold
33934501,evans,high,1.0,1.0,3.0,1.0,1.0,ok,agree,False,False,True
33934501,evans,high,1.0,1.0,3.0,1.0,1.0,ok,agree,False,False,True
33934501,evans,high,1.0,1.0,3.0,1.0,1.0,ok,agree,False,False,True
10041072,evans,high,0.0,1.0,1.0,0.0,1.0,ok,agree,False,False,True
10041072,evans,high,0.0,1.0,1.0,0.0,1.0,ok,agree,False,False,True
10041072,evans,high,0.0,1.0,1.0,0.0,1.0,ok,agree,False,False,True
10041072,evans,high,0.0,1.0,1.0,0.0,1.0,ok,agree,False,False,True
10041072,evans,high,0.0,1.0,1.0,0.0,1.0,ok,agree,False,False,True
10041072,evans,high,0.0,1.0,1.0,0.0,1.0,ok,agree,False,False,True
10041072,evans,high,0.0,1.0,1.0,0.0,1.0,ok,agree,False,False,True
10041072,evans,high,0.0,1.0,1.0,0.0,1.0,ok,agree,False,False,True
10041072,evans,high,0.0,1.0,1.0,0.0,1.0,ok,agree,False,False,True
10041072,evans,high,0.0,1.0,1.0,0.0,1.0,ok,agree,False,False,True
11283208,crimmins_thione,high,0.0,1.0,1.0,0.0,1.0,ok,agree,True,False,False
11283208,crimmins_thione,high,0.0,1.0,1.0,0.0,1.0,ok,agree,True,False,False
11283208,crimmins_thione,high,0.0,1.0,1.0,0.0,1.0,ok,agree,True,False,False
11283208,crimmins_thione,high,0.0,1.0,1.0,0.0,1.0,ok,agree,True,False,False
11283208,crimmins_thione,high,0.0,1.0,1.0,0.0,1.0,ok,agree,True,False,False
11283208,crimmins_thione,high,0.0,1.0,1.0,0.0,1.0,ok,agree,True,False,False
4613387,evans,high,1.0,0.0,2.0,1.0,0.0,ok,agree,False,False,True
4613387,evans,high,1.0,0.0,2.0,1.0,0.0,ok,agree,False,False,True
4613387,evans,high,1.0,0.0,2.0,1.0,0.0,ok,agree,False,False,True
4613387,evans,high,1.0,0.0,2.0,1.0,0.0,ok,agree,False,False,True
4613387,evans,high,1.0,0.0,2.0,1.0,0.0,ok,agree,False,False,True
4613387,evans,high,1.0,0.0,2.0,1.0,0.0,ok,agree,False,False,True
28732340,evans,high,0.0,1.0,1.0,0.0,1.0,ok,agree,False,False,True
28732340,evans,high,0.0,1.0,1.0,0.0,1.0,ok,agree,False,False,True
28732340,evans,high,0.0,1.0,1.0,0.0,1.0,ok,agree,False,False,True
34846555,evans,high,0.0,0.0,0.0,0.0,0.0,ok,agree,False,False,True
34846555,evans,high,0.0,0.0,0.0,0.0,0.0,ok,agree,False,False,True
2223682,evans,high,0.0,0.0,0.0,0.0,0.0,ok,agree,True,False,False
2223682,evans,high,0.0,0.0,0.0,0.0,0.0,ok,agree,True,False,False
2223682,evans,high,0.0,0.0,0.0,0.0,0.0,ok,agree,True,False,False
2223682,evans,high,0.0,0.0,0.0,0.0,0.0,ok,agree,True,False,False
